Property_Type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,furnishing_type,luxury_category,floor_category,coordinates,latitude,longitude
flat,sector 7,0.45,2.0,2.0,1,Relatively New,1000.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,sector 7,0.36,2.0,2.0,1,Relatively New,700.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,sector 7,0.54,2.0,2.0,1,Relatively New,1000.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,sector 7,0.48,3.0,2.0,1,New Property,889.0,0,2,Medium,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.95,2.0,2.0,2,Old Property,1440.0,0,2,High,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,3.85,4.0,4.0,3,Old Property,2628.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.0,2.0,2.0,2,Old Property,1440.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,3.1,3.0,3.0,2,Old Property,2250.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.25,3.0,3.0,2,Old Property,1440.0,0,0,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.66,3.0,1.0,1,Relatively New,550.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.9,2.0,4.0,3,Old Property,900.0,1,0,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.8,10.0,7.0,3,Old Property,2250.0,1,0,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.16,5.0,4.0,2,Old Property,122.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.15,5.0,3.0,2,Old Property,1350.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.16,2.0,4.0,2,Moderately Old,1102.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.35,4.0,5.0,0,Old Property,330.0,0,2,Medium,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.53,2.0,2.0,0,Old Property,900.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.0,2.0,2.0,1,Relatively New,1800.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.95,2.0,1.0,1,New Property,450.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.45,3.0,2.0,0,Old Property,1000.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.75,4.0,2.0,2,Old Property,1575.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.45,3.0,2.0,1,Old Property,900.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.75,3.0,5.0,3,Moderately Old,600.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.3,5.0,3.0,3+,Old Property,1350.0,1,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,3.0,7.0,7.0,0,Old Property,2610.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.25,5.0,3.0,0,Old Property,148.0,0,2,Medium,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.2,2.0,4.0,2,Old Property,1072.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.69,1.0,1.0,1,Old Property,758.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.4,10.0,5.0,3,Old Property,2700.0,1,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,2.43,4.0,4.0,2,Old Property,345.0,0,2,Low,Mid Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,0.27,2.0,2.0,1,Moderately Old,225.0,0,2,Low,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent_house,sector 7,1.0,2.0,2.0,0,Old Property,126.0,0,2,Medium,Low Floor,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,sector 3,0.5,2.0,2.0,1,Old Property,722.0,0,0,Low,Low Floor,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 3,1.35,2.0,2.0,0,Relatively New,1056.0,0,2,Medium,Mid Floor,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 3,0.25,2.0,2.0,2,Relatively New,778.0,0,2,Low,Low Floor,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 3,1.1,2.0,2.0,2,Under Construction,956.0,0,2,Low,High Floor,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 3,0.43,2.0,2.0,1,Relatively New,722.0,0,2,Low,Low Floor,"28.4909° N, 77.0176° E",28.4909,77.0176
